Reviews;Aspect
Ok, i know that the optimisation is good and so is the ecosystem so, yeah fine, use iPhones.;
I'm a fan of apple but the fact is we have been seeing same prior notch design for 3years Apple please bring some innovative design at least for new year incremental approach needs to be change now...we all want revolutionary steps from apple in next year..;
For the people who use it for the ecosystem and fluidity, I just don't think it's worth it just for that considering the price you're paying for it;
APPLE SELLS OLD TECHNOLOGIES AT LAST SEC INOVATION PRICES to loosers that now nothing outside Apple environment;
The iPhone 11 pro Max already has a bigger battery compares to iPhone XS Max!;battery
why aren't they going for a different thing...because iphone 11 is same as the iphone 10...only the camera structure is differs from the other one...so hoping a bigger difference in the future,,;
But, iPhone 11 has ultra-wide camera too;camera
Sorry, but it's ugly;
Wtf 4gb ram in 2019???? .....(No comment);ram
Don't mind them.iOS is ahead of Android like 10x far better. Android users including me should just accept it. Let everyone stay on their lane;ios
This is real badass phone.;phone
Best camera and video camera;camera
Best screen;screen
Best CPU;cpu
Best GPU;gpu
Best performance;performance
Best battery life;battery life
Best price.;
Only 4Gb ram???;ram
Best phone ever..;phone
Boring phone with big price, making the same thing every year;phone, price
Apple invented notch but don't know how to remove the notch;notch
You are totally right, iPhone is the worst;iphone
Still ugly still notch still stupid design and still 99.9% customer satisfaction;notch, design
it has 3696 battery capacity nice;battery capacity
I'm not gonna bad-mouth the iphone11, it really looks good (at least not as ugly as most early leaks and rumours had suggested);
The thing is Apple is more optimized. While more RAM, CPU speed, etc. will definitely help;
It's the best phone ever.;phone
Battery charging is so late;battery charging
from my point of view Apple lost its edge this year with iphone 11 and 11pro;
just got this phone! And the camera is crazy good;camera
4gb of ram at that price!??? I can find a phone with 8gb at over half the price or I can build a gaming pc with 4x times amount of the ram. So over priced;price
It has the best battery life for a 2019 flagship;battery life
Best screen;screen
Best CPU and GPU;cpu, gpu
Best battery life;battery life
Best still and video camera.;video camera
This phone is really killing it;phone
I've never been an Apple fan, but this phone is exceptional in so many ways;phone
its display is among the best in the market in 2019 and so are its cameras and build quality;display, cameras, build quality
Its CPU, GPU and battery performance is the absolute best in any 2019 phone so far;cpu, gpu, battery performance
The large notch will always remain the same eyesore as in the times of the iPhone X, and the camera arrangement on the back is definitely not the best looking.;notch
over priced;
Iphone 11 pro max now this time stil best phone of the world;phone
Much better if iphone have radio and dual sim;radio, dual sim
so expensive;
I got gifted the iphone 11 pro, it costed way too much i can agree on that;
It has great colour calibration,bright display,good viewing angle,great black deep for lcd screen plus it has 120hz touch-sensing which i can feel the silky smooth experience in scrolling and tapping;
I have a space gray and it looks very good in real life.;
If we talk about the rear it's probably the ugliest iPhone ever, they could make a better job with the cameras area.;
Faster in opening phone menus even when windows are closed (finally !) Some apps open much faster and pages within those apps load much faster , but only some apps. Regardless, this is probably attributed to iOS 13;
Goddamn this phone is ugly. So what is making people buy this phone with the same design.;design
Hate that notch. No innovation coming from Apple in design;notch, design
Absolutely right.... Apple phone its really a horrible product;product
Fastest smartphone on the planet, plain and simple..;smartphone
I cant believe people still pay Apple's extortionate prices for sub-standard tech;prices
Bad design;design
The best phone currently you can get is the Iphone 11 pro max, the display is really gorgeous and the processor A13 will remain the fastest, the battery is really good for me as very heavy user;
seeing only 8 mpix selfie camera is not really good.;selfie camera
Camera only 12 MP and Battery only 3.500 mAH ? No !;camera, battery
If only there was a 1TB storage and 12GB RAM variant of the smaller phone.;storage, ram
Why FM radio in USA & Canada only?;fm radio
They giving the lower end phones bigger battery;battery
Samsung should build a larger battery like other mobiles.. that's critical for flagships..;battery
The S10 have a 3500 mAh battery!;battery
Samsung always lies on official renders of phones, they always show less bezel then are the case.. Samsung are liars;
3300 mah battery are you made Samsung??;battery
Weak battery;battery
Bad battery and front camera looks annoying. Disappointed;battery, front camera
The only weak point is the battery, otherwise this phone is solid;battery
the weak battery is a deal breaker for me.;size, battery
Samsung offers luxury and comfort while Apple offers well-maintained secrecy;samsung, apple
every phone which comes battery under 4000mah won't stand a chance in the competition who offers big battery. I can see people who buy below 4000mah phones will complain endurance, hardly a day or less than 10hours.;battery
It's got a big hole in the screen. No thank you.;screen
I prefer to see better resolution;resolution
The battery capacity will upset most of us. We expect 4000 mah+;
not worth it;
Battery capacity is a gimmick;battery, battery life
Why NO Radio FM available for Europe ?! Is a true non sense;radio fm
Batery only 3300 why ????;battery
You can stick a s7 edge battery in a s6 which has a 3500 mah battery and the standard s6 battery is 2550;battery
Samsung need 24 MP;
S10 just bring few features.;features
When is the official launch date in India, any idea ?;
Maybe the battery is not accurate. It must be more than 4000mah.;battery
US Version 6GB Standard? Worth it to upgrade from S8+, I slept on the S9+ because it was too different externally, just internally.;
900 euros is very high price though.;price
a great device with the Triple rear cameras, the headphone jack, Micro SD card slot and all the usual Samsung's goodies.;cameras, headphone jack, sd card
Sadly we will have to get used to the ugly holes just like the notches;holes, notches
Yet again dissapointed to see smaller battery;battery
With the Snapdragon 855 efficiency and reduced power consumption the 3400 MaH battery will be fine;snapdragon 855, power consumption
battery is enough... you need one day full usage.... the next half day is useless...;battery
camera in display, ugly design, worst than Notch...;camera, design, notch
man these specifications are not so impressive should've made that battery 4k with the latest rivals giving more lifespan and that megapixels is not high;battery, megapixels
love all the specs but fck with that price tag, it should cost 650$, 700$ top;specs, price tag
Yeah.. no 6GB RAM version of S10 :) only S10e has 6GB RAM;ram
I'm glad Samsung didn't take away the 3.5mm headphone jack and micro sd card slot. Way to go Samsung! I will stick with you.;headphone jack, sd card
good bye samsung;
FM radio just for USA and Canada, really? I will look for a phone which bears in mind the rest of the world.;fm radio
the notch is ugly as hell.;
The camera should have gone behind the screen.;
Disappointed phone.;phone, camera, notch
the worst thing is samsung included a bunch of wallpapers with dark corners to hide the notch. the battery capacity is also less;notch, battery
Respect for Samsung didn't take away like others the 3.5mm jack and micro sd slot, but the price is to high now.;3.5mm jack, micro sd, price
Missing IR Blaster, that's important for me;ir blaster
No micro SD card slot in S10!!! Only in S10+(up to 512GB) today spoke with samsung representative.;sd card
This phone is a joke!;phone
"why everyone is so harsh with this new samsung and give very very bad comments. i reviewed the iphone section and i can't see any badwords there.is it because its ""apple"" so it cant be compare buy any brands? if its not on your expectation at least u can give a civilised opinion. Be a human, not a savage apes. and one thing if you cant buy it, just shut your filthy mouth and fingers off";
while you guys complain and say sh*t stuff about this, samsung is making huge money from these phones;
Looks like garbage.. No thank you;
what a great phone. it full me with joy;phone
It looks preety cool.;
I love this phone !;phone
And again we have no specification on the SD card type compatibility;sd card
So far this beauty is first in the list for the my next phone. It checks all the boxes I need and the size is perfect;size
Exynos 9820 sucks... Europeans are getting ripped off by Samsung;exynos
brilliant job by SAMSUNG. S10 is LOOKS promising;samsung
very very costly cell phones, I am using S7 edge since last 4 years i am quite satisfied with it and do not need to change with new one. it is all vastage of mony.;phones
S10 family welcomes you.i am very happy & fully satisfied in the phone feature.;feature
Speaker on the right bottom and the selfie camera on the top right.... U will cry and so disturbing when u gaming and video.. what a shame and failed design big brand Samsung! This is a simple knowledge how u don't know that! OMG!;speaker
Front camera location - bad. Top and right part of the screen from front camera seems to be useless! Only to drain battery! am I right? And no big improvements over S9 camera. Only wide angle and zoom lens were added. What about sensor? is it the same as on S9?;front camera
Bottom Bezel more bigger than top;bezel
Wait this has FM radio cool!;fm radio
and the good part is that it has a headphone jack !!! totally worth the price;headphone jack, price
Tried the S10, not impressed. Seems a lot like my S9, but it is even taller.;s10
The chrome body around the phone looks old fashion. Can't see any reason to upgrade. But speaker still really good and loud.;body, speaker
Why are you exiting about this phone ? No much improvement (exept for the price);
Wish the s10e too had the curved edge display like its big bro;display
Come on now. Either all countries should have the sd855 or all should have the exynos one. This is discrimination. Samsung should know better.;sd855, exynos
Samsung will always be king phones;phones
Rumors say they will keep the notch one more year :/;notch
Galaxy s10 is perfect size for me, but I'm worried about the battery;size, battery
the price is way too expensive;price
Why they give only 15w charger in s9 model they gave 18w charger;charger
S10+ ACCETABLE battery life, S10 poor poor battery life. I wanted S10, now I think weather to accept a bigger phone or a weaker battery;battery life
The front camera looks quite small and nice in preview;front camera
Charging speed is fantastic dont see the numbers , i charge it from 25 to 100 in 50 min.;charging speed
Size, is perfect !!! And it is realy fantastic;size
Battery: after the 3rd cycle is good. Now i am talikng to you and my SOT is 1 hrs and 3 min ... The battery now is 91% ... I think is is learning my use.;battery
Front camera, has group selfie and that mean wide camera so u have wide angle selfie dont worry... And i dont mean panorama i mean realy wide angle;front camera
Speaker are damn good;speakers
The finger print needs to be press a little harder i have no idea why maybe because of the screen protector ( it comes with pre installed screen protector );finger print
Speakers are very load !!;speakers
guys its so disappointed to see all reviews focusing on the s10+ only and no one mention the perfect size s10 , i myself was looking for battery test as this is my main concern with the normal s10 , but end up hopeless and order it myself , hope the battery is onbar/near the s10+;size, battery
the battery life is one day no more with normal use;battery
The worst battery life of the Galaxy S10 range. Average usage should get you through the day but heavy usage your probably gonna need a charge by teatime. Dread to think how long it lasts if you use the reverse charging and have the always on display on.;battery life
FM radio (USA & Canada only) = I am from Europe, then I don't buy this phone.;fm radio
I almost ordered this one. I switched to S10+ for the poor S10 battery. Lower even than S8. They should have put at least 3700MAh in S10. I was so angry with Samsung that I almost give up on S10 for this reason. There are a lot of people that give up for good. Samsung lost some clients for this.;battery
Also back video does not support ultra wide recording, only to take photos. I would not say its a big improvement over s9;video, photos
s10 has great features and I do not regret swapping from iPhone to s10;features
I got my s10 bout three days ago and I love it heaps it is a very great phone;phone
Super phone in all sense. ;phone
Battery backup satisfactory. Camera very useful type. Good buy.;battery, camera
Battery life is quite poor.;battery life
I have the phone got it yesterday the battery is ok. All depends on your usage/setttings;battery
I received my s10 two days back..except battery life, everything is excellent. Getting only 18 hours...even In idle condition battery draining drastically;battery
The display is beautiful and I don't notice the cutout anymore, especially with the R2D2 wallpaper.;display
This phone is fantastic. Fast, easy to hold and just everything a premium phone should be. I have had if two days and so far no issues with battery.;phone, battery
Earlier people complain about notch. Now with Galaxy S10 series owners playing with new wallpapers.;notch
iPhones are just way better. No matter how many upgrades the galaxy models have, the software can ever compare to IOS in any iOS device;software
I am using s10 now from 8 days.. All is well but battery life is very less. Maximum 16 to 18 hours even on power saving mode is on. Especially battery drain fast during idle mode. Samsung should fix that issue by update.;battery life, battery
Thank you Samsung for keeping the headphone jack.;headphone jack
No matter how good is your phone, without a good battery life, it's frustatting !;battery life
Samsung battery sucks i got a J200f but i hate its battery improve on that.;battery
Best phone i have ever used - excels at everything. Except battery. I'm getting fed up with Samsung not sorting this. I know the S10 Plus has decent battery, but their smaller models always suffer. I've optimised the phone, taken off all advanced features i don't use, removed bixby screen, even went as far as to using HD+ only and the dark theme (which i actually enjoy), yet it doesn't last throughout the whole day.;battery
I just bought S10 a few days ago. No doubt it's a great phone but I have started to face some issues which are quite irritating.;phone
Secondly, the notification light. The notification light is a concern for me as I used to judge my notifications with the color of notification light. Now it's not there anymore.;notification light
The last one is the front camera live focus. If you select other options like zoom and the one ones, they lag a lotttttt.;front camera
Have dual sim card model.;sim card
Fast phone.;phone
Good display.;display
Good camera (like the wide, normal, and zoom mode).;camera
Battery.. yes it is a bit drain faster(approximately after lunch time battery level would hit 20% or something. Would be goof with 5.000 mah, bht i dont thnik size would be the same.;battery
Anyway fast charging feature work well, only need 1 hour to fully recharge (use qc 2.0).;fast charging
You are right about the display. It's not as vibrant. I've tried to change all settings and it's still dull and washed out looking. Hope they fix this.;display
the wide angle camera and the battery life is better than the s9 plus. I'm happy with my decision;camera, battery life
This phone is great.;phone
i wanted to purchase this device as i love the look, display & camera;display, camera
Just looked at specs of this phone 16MP camera... Really??? same as the......S6!!!;camera
finger print scanner not workin after using a glass screen protecter;finger print
Im disappointed with battery life, i can get 4h/5h screen time.;battery life
The main camera has 12MP! It's the ultra wide cam that has 16MP... You can see it in the specs. Its extremely great camera;main camera, wide camera
It seems that 3,400 mAh battery is not good enough to sustain the specs of S10;battery
low light photography is not that good.;
The image quality is not that impressive in low light... Video is very hazy in low light,Will it get any software updates? I am using it for 3 days;image quality, video
Get the S10. I've used it enough to say it's one of the best phones out there. Cheers!;phones
Battery goes down 8% in a hour when also i not use this phone.;battery
Excellent device except battery. Battery draining is very fast and over heating when using internet.;device, battery
Best smartphone on the market!;smartphone
"Samsung Galaxy S10 launched without light LED notification. Without such feature, flagship may be called ""Samsung ship without Flag"". Hurry up Samsung before getting too late to loose your fans.";led notification
That is why I need bezel where all sensors, including notif.light, are in.;
Other than that, the punch hole does not really bother me (better than stupid notch design) and great job on battery life as well.;punch hole, battery life
Updated from S9. As a vloger, I especially love the camera and video. Stabilization quality and the color is just so much better.;camera, video, stabilization
I am really enjoying my galaxy s10. Thanks Samsung for an Awesome phone!;phone
SAMSUNG S10 also has a lot of problems especially the software.;software
the led is around the front camera, you just need to activate it.;led, front camera
Samsung's flagship series lovers are crying like wounded lion just to tell u why you abandon Light notification in S10 variants. Please pay attention and include it in next update;light notification
In my country S10+ price is about 1050 EUR which matches here. But S10 price is 954 EUR which does not match here.;price
I am dissapointed with this 6.1' small screen and this punch hole. I was expecting hole-free screen.;screen, punch hole
Samsung Is Undoubtedly High Functioning Affordable Phone Than Any Smart Phone.;phone
i am facing battery drainage problem. phone getting hot frequently. battery drainage exp id i charge to 100 then if i start to use in 10 minutes it sropa to 97..then drains 1 percent evey 2 to 3 mins.;battery
Mediocre battery life especially for a flagship;battery life
fingerprint sensor doesn’t always recognize my thumb;fingerprint sensor
This phone is a total crap unless you want use to take nice pictures;phone, pictures
Selfie camera is worst, no clear image, battery drains fast can last for 6 hours and how can i share my power to others if it's insufficient for me;selfie camera, image, battery, power
This is an amazing cellphone.;cellphone
The camera is amazing as always. I love doing photography and get a lot of compliments on the pictures. ;camera, photography, pictures
My only issue with this phone is battery life. ;battery life
No Notification Light in the S series ... whaaaat ! no led light in a 900 euros phone, so pricey;notification light
After 5 weeks, i can easily say this is the best phone i've ever used.;phone
But there's still one issue with the S-series phone from Samsung, especially the smaller ones: BATTERY!;battery
Notificacion light is a must-have , another one that lost it, in a 1000 euro price range is way too much.;notification light, price
the display is fantastic and the performance is so good.;display, performance
For me, battery life is great - easily better than my old S8. Most nights I have around 50% battery remaining and around 3 hours of SOT;battery life
The build quality is excellent.;build quality
This device's build quality is excellent.;build quality
Camera punch hole actually doesn't bother you after a day of usage.;punch hole
Battery life is phenomenal. I easily get around 5 1/2 to 6 hours of screen on time;battery life
Best things of this phone is the display quality. Samsung has definitely kept its best display for its flagship devices. All in all I am really happy and satisfied with this device.;display
Its a fail! What poor battery it has.;battery
Best phone I've used. Fingerprint issue? No just ad same finger 3 times or something then it works alot better. Not the fastest but I use face unlock so never bothered by that.;phone, fingerprint
Speakers are amazing, so is the screen and the cameras.;speakers, screen, cameras
Just a tat smaller would have been better (S10e feels too cheap for the price). Too bad fingerprint reader is slow, but i don't use it anyway.;fingerprint reader, price
Just bought the phone. Coming from S8, i am impressed. Perfect for me, and storage 128 GB is great.;speakers, screen, cameras, storage
Fingerprint reader performance was not so good;fingerprint reader
samsung Exynos processor is not good.;processor
bad battery;battery
Battery life is very less.;battery life
The face unlock works instantaneously;face unlock
Speaker louder with more bass.;speaker
Screen is really better than S8, brighter. Screen is less curved than on S8, i like the small curve actually;screen
bad battery;battery
Finger print scanner is fast after update, face unlock instantaneous, speaker super loud, great camera at night, battery ok .;finger print, face unlock, speaker, camera, battery
Really good phone, no problem.;phone
Phone has really loud speakers;phone
SAMSUNG phones camera app got a Pro mode. You can adjust the ISO manually like the Pro photographer.;camera
S10 is way ahead regarding cameras, memory, screen, speakers...about everything.;cameras, memory, screen
the camera and the fingerprint scanner have been improved.;camera, fingerprint
only stupid thing is with this phone its way to pricey with no fast charging as you after spend nearly £60 for you to have the fast charging to work;pricey
Everything Looks Bad Except To Be Honest The Benchmark Is On Top Of All Device!;
I love iphone;
Very low screen resolution;
Damn, I thought about buying this phone in the near future, but that low resolution is a big NO NO for me. Plus, that $750 starting price tag is also a big NOPE!;
no 3d touch ? LOL!;
iPhone XR has lower resolution, but has the same A12 chip , that means it will perform better in games !;
Who will buy this piece of waste with such low resolution;
This shouldn’t have been priced more than 500$. Come on Apple, at least release a budget phone, below 400$.;
Well this phone is pretty legit to me, so I'm ok with its price.;
Good for you. I like that they went for 120Hz for the displays, camera looks to be on the Pixel level, or even above, finally some decent Screen to Body ratio for mainstream phones.;
There is nothing wrong with the specs of this phone.;
they have to get out of their way to put a low resolution display in this one. that's quite sad due to the A12 SoC which is overkill for the resolution;
Very best phone with best size;
Time to go to APPLE iOS!;
I love the price and specs;
It's stupid for Apple for putting a 720p display ON A $750 PHONE! Ya'll always find a way to defend Apple. ;
Same here bro, i also like iphone xr look better;
In my opinion it's absolutely crap phone. Huge (even wider than Galaxy Note), heavyweight with low resolution screen, and as usual for Apple - no 3.5 mm jac;
Well A12 bionic chipset is absolute beast. That saying, I'll see next year's iPhone launch and if I won't be blown off by anything there or if they won't launch any smaller phone;
I Like this phone;
2018 n apple trying to sell a hd+ display for 750+ !! crazy;
iPhone 8 plus is much better in almost every aspect compare to this with same price;
it looks great. Will have to wait for some real reviews until jumping to conclusions.;
The price (€850) and the low resolution for this screen size (DPI is actually OK) are the most concerning issues with this phone.;
every thing ok. but only the thing design, its looks same , only the different the camera structure, hopeless!;
"WTF!!!!!??? 800p screen in 2018? And on the 6.1"" screen? Also IPS for $900?? That's really crazy";
It's incredible how people are so stupid to buy an iPhone when is over priced and worst then Android;
Worst product from Apple.;
Totally waste product an 700 dollar phone they can't even give an 1080p screen.;
Apple can't even provide an 1080p screen for this much huge upfront and simply names there worst product with there stupid name.!!!;
Totally a waste product;
Screen to body ratio sucks, its bezzels are super thick on sides.;
costs abt $700 and dosen't have full HD display eeewwwwwwwww..;
what a pathetic device...;
Apple's been there, done that and moved on. Get with it.;
can't play 1080p content because of its resolution, shame;
Everything looks cool but the price and size of the phone's HUGE!!!;
this phone is not fast charging, takes 5-6 hrs with original charger and 3-4 hr with other fast charger. ;
not a good phone.;
battery better than xs and any iphone ever;
I just bought tge iPhone XR it’s actually amazing ..;
iphone xr display is very poor 326 ppi, not recommended. image not clear.;
the one-day battery life is amazing.;
I used to be skeptical about the resolution being 720p but once i bought and use it, you can't even tell the difference.;
The thing costs $1150 and only has a 720p+ screen haha this is so overpriced;
Just upgraded from 7 to XR and it's a really great phone. XR is a good upgrade for you.;
Moreover, the battery life is extremely good. Gives you a full day from average to moderate use. The only downside is it's bulkiness. Rest, it's a good package.;
Go for iPhone XR. It's a great phone. My dad is using it for the past one year and he hasn't faced any problems till date.;
better camera and specs etc,except the bezels but its not that big of a difference, better battery life;
It works great and from the processor to the camera i had nothing to say. Honestly I recommend this phone it’s absolutely fabulous. Thanks;
Who will pay $850 for outdated LCD Panel display;
Apple is garbage as it is. Will never spend money on any apple product as it is way overpriced.;
This is awful. Looks like a kids phone;
People call it budget with price of 850 eur ..oh wow;
I wonder who will spend all that money on the model that makes them look like they're too poor to afford the real thing;
720 p display what the fun . iphone is cheating people;
terrible notch design;
Apple provides great after sales warranty support, regular software and security updates.;
The phone you buy will be supported for a long time.;
Iphone xr is the best low range phone;
720p display on a 6.1 inch screen. With such a tiny pixel density is a laugh;
$750 is the new standard of Apple calling it budget. But it's still damn expensive;
on top of that the A12, the great camera and you have a clear winner. No wonder it's gonna sell great.;
Incredible phone at this price and comes with an amazing screen;
Im so confuse with display;
it's not worth buying. The pixel density is lower than average on flagship phones with Amoled displays.;
Extremely disappointed with Apple.;
flagship device with a 720p screen at the end of 2018, what a joke;
Looks like apple is now trying to create a trend where thicker bezel is the new cute design....hehehhe;
750 dollar for a 720p phone lol. apple is living on the loyal sheep they harvested for years.;
i think this is the cheapest phone of apple and reasonable price compare to other phone.;
to me 720p is good enough;
very good work from apple, there are people who don't care about the display. and to be honest 326ppi in a 6.1 in display is going to be very good.;
720p for 2018 phone is ridiculous;
eagerly waiting iphone XR beast!!!! this iphone will crush all mobiles even XS in each and every dept.;
apple is xr best;
The bezels on this phone are too thick.;
Xr LCD, one camera, 64 GB, camera bump, NOTCH for 850 euro. NEVER;
I find the iPhone less and less appealing;
I think the iPhone XR is actually this year's best option for (most) people looking to buy a new iPhone this year.;
The camera on the XR has a larger sensor than the iPhone cameras from last year, but loses the telephoto lens. Still, the larger sensor is a worthwhile trade-off IMO.;
XR is Beast!!!!;
It has telephoto, but the main camera of X is worse.;
Xr Camera is same as Xs main camera, and with Smart HDR, it is actually a huge step forward.;
Ridiculos low resoultion;
I love this iPhone. Cool color especially the coral.;
Much better priced, all I need, bigger screen and better battery life - no choice!. Cant wait;
Wise choice! You'd also get a great audio experience;
No headphone jack - no deal.;
No fingerprint sensor;
No super amoled just lcd;
Only hd;
No bluetooth;
No headphone jack;
No sd card slot;
Notch;
ios is worse than android;
Trash I thought that iphones are the best;
Face ID is there as a replacement to Touch ID, it may be slightly slower but it is much easier to use, just look at your phone;
Yes but past 300ppi your eye can’t see the individual pixels unless you use your phone at 2cm from your face like an idiot;
iPhones are good all round phones. If you want a phone that will do what you need, get an iPhone;
Apple ecosystem works really well together, apples w1 chip for headphones is really convenient and the battery life is best out of the new iPhones;
Very Big and heavy. If Apple doesnt bring a smaller, lighter phone in the near future, bye bye iPhone. I want a phone with maximum height of 142 cm and no more than 160 gr.;
Got my iPhone XR today and I'm X happy with the phone;
Everyone knows the specs are good. But the price is not justifiable;
At this price I expect a 3500+ mah battery and at least a 1080p screen. It won't kill their profit margins that much... in fact it might increase it;
No xr is trash;
this phone lacks the basics of smartphone no fingerprint sensor no full hd display and no super amoled no micro sd ;
it's camera isn't that gold many phones have better cameras;
The only good think about this phone is software and chipset;
It has a good LCD screen and a small battery;
This phone is very big and heavy. ;
Ugly notch. no fingerprint sensor;
worst phone from apple;
This phone is sadly too big for my hands. Will stay with my iPhone 7 until the 8 or X are cheap used.;
Simple, compact and hi Tech;
From the reviews it almost sounded like we would be able to see individual pixels like a supermario game but the display is actually very decent, though the phone is costly overall. ;
it is a 720p display but it is sharp and bright;
This particular LCD is the best on the market in the history of screen making! This is quite attractive to me, I could complain about pixel density as everyone is doing but I believe is much more appealing to have a screen with low PPI rather than having a 4K screen with color shift value of 10, hard to see outdoors etc;
the bezels are so mich thicker than so many other phones.;
I like the design of the X series;
The screen wasn’t as bad as many said. Got my XR a few days ago and it was a fresh design from my previous 7plus . If I want a very good screen viewing;
i have to tell you that screen on this guy is amazing.Color is not yellow like on other two its soo well calibrated and is brightest screen i have seen.Plus side is that feels much more fluent and smoother due to lower resolution,and i really dont notice pixel even though i have sharp eyes;
it’s a solid gaming phone with the best iOS battery life..;
A lot of people said bad things to the display but I've found that xr with 826p(326ppi) looks so vibrant than mine even my phone rn is fhd+.I have tried it at apple shop and the display not the best but still looks excellent for me;